"","Company","User_ID","N_Prev_Ten"
"6","Microsoft","149435456",6
"13","Microsoft","229333701",1
"20","Microsoft","40477324",2
"29","Microsoft","21247690",7
"39","Google","13199963",1
"40","Microsoft","13199963",2
"45","Microsoft","24792486",3
"51","Microsoft","84059796",3
"72","Microsoft","218025869",2
"84","Microsoft","1879318",6
"103","Microsoft","1532766",1
"105","Microsoft","186396979",1
"125","Microsoft","21696284",3
"130","Microsoft","10547356",2
"135","Microsoft","159777730",3
"139","Microsoft","31209534",1
"148","Microsoft","16804582",2
"153","Microsoft","101909087",3
"160","Microsoft","85576595",2
"173","Microsoft","5341427",5
"198","Microsoft","154621",2
"213","Microsoft","158613083",3
"217","Microsoft","116669284",1
"244","Microsoft","138557403",2
"250","Microsoft","17444339",2
"256","Microsoft","154638431",4
"263","Microsoft","6455206",3
"264","Microsoft","6455206",4
"274","Microsoft","3820522",2
"298","Microsoft","1090350",2
"299","Microsoft","1090350",3
"307","Microsoft","91345898",1
"327","Microsoft","24877080",1
"332","Apple","147592966",2
"334","Microsoft","147592966",4
"346","Microsoft","372531",2
"351","Microsoft","65398612",3
"373","Microsoft","86971604",3
"388","Microsoft","158971528",2
"396","Microsoft","54595120",8
"406","Microsoft","100951344",3
"410","Microsoft","53594141",1
"419","Microsoft","17552893",3
"421","Microsoft","40171800",1
"427","Microsoft","1550137",1
"433","Microsoft","1170724",4
"435","Microsoft","11105192",2
"440","Microsoft","124676237",3
"447","Microsoft","64278544",1
"448","Microsoft","64278544",2
"461","Microsoft","35344696",1
"466","Microsoft","12942701",4
"467","Facebook","12942701",5
"469","Microsoft","32888110",2
"472","Microsoft","6802670",1
"481","Microsoft","139366364",3
"487","Microsoft","10754003",5
"491","Microsoft","66918",4
"496","Microsoft","21062839",2
"501","Amazon","32120722",3
"506","Microsoft","75968497",4
"512","Microsoft","3004",4
"514","Microsoft","3542018",2
"517","Microsoft","10255325",2
"526","Microsoft","19646536",1
"528","Microsoft","242707540",1
"533","Microsoft","236952783",3
"537","Microsoft","10460759",2
"585","Microsoft","16187178",39
"594","Microsoft","7253113",2
"595","Microsoft","185634643",1
"602","Microsoft","108443043",1
"604","Microsoft","3407867",2
"614","Microsoft","8425313",5
"615","Microsoft","8425313",6
"619","Microsoft","115601422",4
"625","Google","71679226",6
"627","Microsoft","71679226",8
"633","Microsoft","17857755",1
"637","Microsoft","126961764",1
"642","Microsoft","4660262",4
"650","Microsoft","6754276",6
"657","Microsoft","3396732",4
"664","Microsoft","60618215",3
"667","Microsoft","21633329",1
"668","Google","21633329",2
"669","Microsoft","6367286",1
"678","Microsoft","2382403",1
"681","Microsoft","13610301",2
"687","Microsoft","419081",4
"691","Microsoft","7312590",2
"698","Microsoft","206866",2
"699","Microsoft","206866",3
"705","Microsoft","4592614",4
"709","Microsoft","19221421",2
"720","Microsoft","454853507",2
"723","Microsoft","12070921",3
"730","Microsoft","45773615",1
"731","Microsoft","45773615",2
"736","Microsoft","139182161",2
"742","Microsoft","193252816",6
"753","Microsoft","6565592",1
"760","Microsoft","17091271",7
"761","Microsoft","590239703",1
"766","Microsoft","30732220",4
"792","Microsoft","57650945",3
"795","Microsoft","24851768",1
"803","Microsoft","32330",5
"815","Microsoft","230067906",4
"820","Microsoft","12596202",2
"831","Microsoft","10723448",1
"849","Microsoft","4101709",5
"854","Microsoft","42885384",5
"858","Microsoft","102496183",4
"860","Microsoft","46011921",1
"862","Microsoft","46011921",3
"866","Microsoft","3072570",2
"876","Microsoft","7591797",4
"885","Microsoft","3642425",7
"891","Microsoft","231715763",3
"897","Microsoft","4061200",4
"904","Microsoft","111264467",6
"912","Microsoft","4750580",6
"921","Microsoft","2325600",5
"924","Microsoft","14329684",1
"931","Microsoft","3119336",2
"941","Microsoft","158662900",1
"948","Microsoft","7253967",1
"972","Microsoft","173366652",3
"981","Microsoft","14998855",2
"985","Microsoft","6607260",2
"991","Microsoft","3886747",3
"992","Microsoft","3886747",4
"993","Microsoft","3886747",5
"1002","Microsoft","6167147",9
"1008","Microsoft","132690245",3
"1015","Microsoft","49854648",1
"1023","Microsoft","12027295",5
"1024","Microsoft","37419829",1
"1032","Microsoft","68944012",4
"1042","Microsoft","6312323",3
"1045","Facebook","6312323",6
"1050","Microsoft","7131906",2
"1054","Microsoft","122652218",2
"1057","Microsoft","18568766",2
"1063","Microsoft","63035114",3
"1065","Microsoft","8180676",2
"1072","Microsoft","4621171",4
"1075","Microsoft","10066348",2
"1081","Microsoft","27347158",1
"1087","Microsoft","46696832",6
"1089","Microsoft","2434824",2
"1105","Microsoft","71027694",2
"1110","Microsoft","20235792",1
"1118","Microsoft","131661068",3
"1122","Microsoft","16166929",4
"1138","Microsoft","1619196",3
"1144","Microsoft","13295176",2
"1146","Amazon","13295176",4
"1152","Microsoft","25153686",4
"1155","Google","23572556",1
"1160","Apple","47847704",5
"1168","Microsoft","15572894",4
"1189","Microsoft","7538968",11
"1193","Microsoft","16884784",1
"1196","Microsoft","52084952",2
"1198","Microsoft","7353422",1
"1205","Microsoft","113489739",3
"1228","Microsoft","17623484",3
